system:index,histogram,shapeGroup,shapeType
2001_01_01_0000000000000000000c,"[[1.0, 591.7686274509804], [2.0, 21.556862745098037], [3.0, 23.968627450980392], [4.0, 333.0], [5.0, 1708.870588235294], [6.0, 65.0], [7.0, 805.7490196078433], [8.0, 1059.721568627451], [9.0, 28320.337254901966], [10.0, 1045160.8313725488], [11.0, 5590.156862745098], [12.0, 77096.98823529408], [13.0, 14045.086274509804], [14.0, 1532.0], [15.0, 22592.14901960786], [16.0, 166621.65490196078], [17.0, 49014.70588235294]]",KGZ,ADM0
2001_01_01_0000000000000000000d,"[[1.0, 28.0], [2.0, 687094.6549019607], [3.0, 0.0], [4.0, 7335.917647058823], [5.0, 18443.141176470588], [6.0, 781.7137254901961], [7.0, 37.07450980392157], [8.0, 178463.13333333342], [9.0, 70882.23529411765], [10.0, 43016.12156862746], [11.0, 3388.2235294117636], [12.0, 12531.423529411757], [13.0, 785.9490196078432], [14.0, 2702.780392156863], [15.0, 0.0], [16.0, 336.36078431372545], [17.0, 2994.015686274509]]",LAO,ADM0
2001_01_01_0000000000000000000e,"[[1.0, 59818.56078431374], [2.0, 0.0], [3.0, 50.0], [4.0, 14913.592156862744], [5.0, 295374.48627450975], [6.0, 0.0], [7.0, 0.0], [8.0, 251762.0431372549], [9.0, 45580.325490196075], [10.0, 28028.925490196078], [11.0, 4853.64705882353], [12.0, 64860.298039215675], [13.0, 3285.694117647059], [14.0, 85095.63137254905], [15.0, 0.0], [16.0, 12.823529411764707], [17.0, 8414.152941176455]]",LVA,ADM0
2001_01_01_0000000000000000000f,"[[1.0, 131.0], [2.0, 1.0], [3.0, 0.0], [4.0, 0.0], [5.0, 5.0], [6.0, 0.0], [7.0, 14466.898039215688], [8.0, 270.40000000000003], [9.0, 3381.24705882353], [10.0, 23547.235294117643], [11.0, 730.9254901960783], [12.0, 12670.81176470589], [13.0, 2798.3725490196093], [14.0, 25.0], [15.0, 0.0], [16.0, 1459.8470588235298], [17.0, 54.90588235294123]]",LBN,ADM0
2001_01_01_00000000000000000010,"[[1.0, 0.0], [2.0, 0.0], [3.0, 0.0], [4.0, 1.0], [5.0, 0.0], [6.0, 1045.8392156862747], [7.0, 7342.6274509803925], [8.0, 19.0], [9.0, 153.39215686274508], [10.0, 152664.7725490197], [11.0, 224.9843137254902], [12.0, 206.52549019607844], [13.0, 468.57647058823534], [14.0, 0.0], [15.0, 0.0], [16.0, 66.0], [17.0, 8.0]]",LSO,ADM0
2001_01_01_00000000000000000011,"[[1.0, 21.56078431372549], [2.0, 162902.63921568618], [3.0, 0.0], [4.0, 16.0], [5.0, 15.058823529411764], [6.0, 1.0], [7.0, 0.0], [8.0, 209617.80392156876], [9.0, 10176.337254901964], [10.0, 2499.929411764706], [11.0, 2804.149019607847], [12.0, 135.43137254901958], [13.0, 700.7333333333335], [14.0, 1622.5411764705884], [15.0, 0.0], [16.0, 2.431372549019608], [17.0, 298.32156862745074]]",LBR,ADM0
2001_01_01_00000000000000000012,"[[1.0, 1.0], [2.0, 0.0], [3.0, 0.0], [4.0, 0.0], [5.0, 0.0], [6.0, 380.0], [7.0, 54360.36470588232], [8.0, 9.0], [9.0, 22.101960784313725], [10.0, 40121.2666666666], [11.0, 14.11764705882353], [12.0, 46818.74509803922], [13.0, 8082.49803921569], [14.0, 1.0], [15.0, 0.0], [16.0, 8063073.011764713], [17.0, 779.5058823529419]]",LBY,ADM0
2001_01_01_00000000000000000013,"[[1.0, 39.0], [2.0, 0.0], [3.0, 0.0], [4.0, 0.0], [5.0, 381.91372549019604], [6.0, 0.0], [7.0, 0.0], [8.0, 269.73725490196074], [9.0, 317.7372549019607], [10.0, 241.86666666666656], [11.0, 12.63137254901961], [12.0, 0.0], [13.0, 93.93725490196078], [14.0, 26.066666666666666], [15.0, 0.0], [16.0, 0.0], [17.0, 0.0]]",LIE,ADM0
2001_01_01_00000000000000000014,"[[1.0, 46976.07058823529], [2.0, 0.0], [3.0, 40.74509803921569], [4.0, 7940.015686274511], [5.0, 144277.137254902], [6.0, 7.0], [7.0, 1.0], [8.0, 103708.07450980393], [9.0, 134047.5058823529], [10.0, 91477.6588235294], [11.0, 4213.4], [12.0, 183259.80392156853], [13.0, 4770.701960784314], [14.0, 75983.72549019604], [15.0, 0.0], [16.0, 14.909803921568626], [17.0, 4302.521568627452]]",LTU,ADM0
2001_01_01_00000000000000000015,"[[1.0, 0.0], [2.0, 0.0], [3.0, 0.0], [4.0, 875.2196078431372], [5.0, 5052.749019607842], [6.0, 0.0], [7.0, 0.0], [8.0, 1806.780392156863], [9.0, 5262.63137254902], [10.0, 1935.313725490196], [11.0, 6.745098039215686], [12.0, 2281.7019607843135], [13.0, 1483.913725490196], [14.0, 6166.666666666669], [15.0, 0.0], [16.0, 0.0], [17.0, 0.0]]",LUX,ADM0
2001_01_01_00000000000000000016,"[[1.0, 0.0], [2.0, 0.0], [3.0, 0.0], [4.0, 0.0], [5.0, 0.0], [6.0, 0.0], [7.0, 0.0], [8.0, 0.0], [9.0, 2.003921568627451], [10.0, 0.0], [11.0, 0.027450980392156862], [12.0, 0.0], [13.0, 13.603921568627452], [14.0, 0.0], [15.0, 0.0], [16.0, 0.0], [17.0, 0.2980392156862745]]",MCO,ADM0
2001_01_01_00000000000000000017,"[[1.0, 19366.839215686276], [2.0, 0.0], [3.0, 31251.70196078431], [4.0, 4626.568627450981], [5.0, 28642.36470588234], [6.0, 44.0], [7.0, 17363.917647058825], [8.0, 275762.5725490197], [9.0, 139717.79215686276], [10.0, 8333792.901960785], [11.0, 31478.16862745098], [12.0, 3463.431372549019], [13.0, 8946.890196078431], [14.0, 317.5843137254903], [15.0, 1548.7960784313723], [16.0, 4400718.066666666], [17.0, 116337.10980392157]]",MNG,ADM0
2001_01_01_00000000000000000018,"[[1.0, 2575.7960784313705], [2.0, 415.1372549019608], [3.0, 0.0], [4.0, 10947.63921568628], [5.0, 5471.231372549018], [6.0, 5.0], [7.0, 0.0], [8.0, 27772.294117647078], [9.0, 31167.470588235275], [10.0, 20790.011764705883], [11.0, 518.2039215686273], [12.0, 502.57254901960795], [13.0, 748.5490196078431], [14.0, 288.26666666666665], [15.0, 0.0], [16.0, 2.447058823529412], [17.0, 2119.9921568627415]]",MNE,ADM0
