system:index,histogram,shapeGroup,shapeType
2006_01_01_0000000000000000002c,"[[1.0, 992.7607843137255], [2.0, 2861.6980392156865], [3.0, 0.0], [4.0, 3.850980392156863], [5.0, 40.98039215686275], [6.0, 288.06666666666666], [7.0, 130007.88235294117], [8.0, 2626.211764705882], [9.0, 3319.1529411764714], [10.0, 62312.45490196073], [11.0, 513.9607843137253], [12.0, 166671.5725490196], [13.0, 9199.392156862756], [14.0, 411.4117647058824], [15.0, 0.0], [16.0, 526533.3372549021], [17.0, 3707.999999999988]]",TUN,ADM0
2006_01_01_0000000000000000002d,"[[1.0, 0.0], [2.0, 0.0], [3.0, 0.0], [4.0, 0.0], [5.0, 0.0], [6.0, 0.0], [7.0, 486113.6784313725], [8.0, 0.0], [9.0, 11.0], [10.0, 805537.1686274514], [11.0, 768.9450980392157], [12.0, 91617.52156862745], [13.0, 11693.050980392156], [14.0, 0.0], [15.0, 330.0], [16.0, 1706984.603921569], [17.0, 164007.04705882346]]",TKM,ADM0
2006_01_01_0000000000000000002e,"[[1.0, 12.662745098039217], [2.0, 3295.9568627450985], [3.0, 0.0], [4.0, 0.0], [5.0, 1.0], [6.0, 0.0], [7.0, 0.0], [8.0, 453.32941176470604], [9.0, 26.301960784313724], [10.0, 1.0], [11.0, 135.8549019607843], [12.0, 0.0], [13.0, 9.631372549019607], [14.0, 0.0], [15.0, 0.0], [16.0, 0.0], [17.0, 50.59215686274508]]",STP,ADM0
2006_01_01_0000000000000000002f,"[[1.0, 0.0], [2.0, 0.0], [3.0, 0.0], [4.0, 0.0], [5.0, 0.0], [6.0, 0.0], [7.0, 148772.46666666667], [8.0, 0.0], [9.0, 168.0], [10.0, 71057.31764705882], [11.0, 0.4392156862745098], [12.0, 16255.0], [13.0, 23496.388235294122], [14.0, 0.0], [15.0, 0.0], [16.0, 9066745.309803927], [17.0, 1676.57254901961]]",SAU,ADM0
2006_01_01_00000000000000000030,"[[1.0, 0.0], [2.0, 0.0], [3.0, 0.0], [4.0, 881.9921568627451], [5.0, 2.0], [6.0, 0.0], [7.0, 3454.658823529412], [8.0, 7.129411764705882], [9.0, 29261.47450980391], [10.0, 703154.5843137264], [11.0, 6896.800000000016], [12.0, 82559.66666666667], [13.0, 2484.6117647058827], [14.0, 3750.0], [15.0, 0.0], [16.0, 3873.8862745098036], [17.0, 5612.529411764705]]",SEN,ADM0
2006_01_01_00000000000000000031,"[[1.0, 19610.792156862728], [2.0, 0.0], [3.0, 15.0], [4.0, 119569.96862745106], [5.0, 49731.61960784318], [6.0, 2.0], [7.0, 0.0], [8.0, 33502.015686274506], [9.0, 36387.372549019616], [10.0, 21514.71372549019], [11.0, 980.780392156863], [12.0, 146817.06274509802], [13.0, 16180.874509803924], [14.0, 4842.513725490196], [15.0, 0.0], [16.0, 70.88627450980393], [17.0, 754.1843137254903]]",SVK,ADM0
2006_01_01_00000000000000000032,"[[1.0, 2092.7372549019615], [2.0, 7.929411764705883], [3.0, 0.7490196078431373], [4.0, 44310.13725490192], [5.0, 41503.65098039212], [6.0, 3.0], [7.0, 0.0], [8.0, 30321.356862745088], [9.0, 18065.909803921568], [10.0, 8030.984313725487], [11.0, 26.47450980392157], [12.0, 10648.898039215685], [13.0, 3152.772549019608], [14.0, 10319.584313725492], [15.0, 21.0], [16.0, 152.45882352941177], [17.0, 90.4745098039216]]",SVN,ADM0
2006_01_01_00000000000000000033,"[[1.0, 68.0], [2.0, 23.098039215686274], [3.0, 0.0], [4.0, 0.0], [5.0, 0.0], [6.0, 70382.1019607843], [7.0, 694319.4588235291], [8.0, 0.5764705882352941], [9.0, 26528.501960784313], [10.0, 1062612.32941176], [11.0, 30.662745098039217], [12.0, 4841.941176470588], [13.0, 4658.003921568627], [14.0, 148.0], [15.0, 0.0], [16.0, 723000.5490196093], [17.0, 1482.3019607843146]]",SOM,ADM0
2006_01_01_00000000000000000034,"[[1.0, 0.0], [2.0, 4906.054901960784], [3.0, 0.0], [4.0, 30386.615686274516], [5.0, 6071.2392156862725], [6.0, 0.0], [7.0, 27.69019607843137], [8.0, 7267.803921568628], [9.0, 1285896.3137254901], [10.0, 1179468.4549019614], [11.0, 14084.0], [12.0, 103109.63921568621], [13.0, 320.0156862745098], [14.0, 32.39999999999999], [15.0, 0.0], [16.0, 133.2549019607843], [17.0, 439.0]]",SSD,ADM0
2006_01_01_00000000000000000035,"[[1.0, 93176.19607843137], [2.0, 65556.68627450979], [3.0, 0.7254901960784313], [4.0, 25168.17254901961], [5.0, 38373.43921568627], [6.0, 32975.356862745095], [7.0, 361033.6862745099], [8.0, 389325.2392156864], [9.0, 473999.0509803922], [10.0, 1018409.3686274512], [11.0, 8109.647058823532], [12.0, 901543.7607843138], [13.0, 44385.000000000044], [14.0, 13412.0], [15.0, 0.0], [16.0, 14440.086274509813], [17.0, 6336.219607843136]]",ESP,ADM0
2006_01_01_00000000000000000036,"[[1.0, 1.5568627450980392], [2.0, 37119.105882352946], [3.0, 0.0], [4.0, 8.0], [5.0, 74.0], [6.0, 1.0], [7.0, 58.65882352941176], [8.0, 98145.59215686275], [9.0, 69539.99607843136], [10.0, 19047.203921568616], [11.0, 884.0039215686273], [12.0, 11406.945098039216], [13.0, 2093.992156862745], [14.0, 26585.933333333334], [15.0, 0.0], [16.0, 116.60392156862746], [17.0, 5337.486274509796]]",LKA,ADM0
2006_01_01_00000000000000000037,"[[1.0, 0.0], [2.0, 0.0], [3.0, 0.0], [4.0, 6.0], [5.0, 0.0], [6.0, 0.0], [7.0, 47182.16470588236], [8.0, 0.0], [9.0, 2023.745098039216], [10.0, 2657008.5098039214], [11.0, 381.0], [12.0, 294958.4862745098], [13.0, 15203.498039215687], [14.0, 8405.152941176471], [15.0, 0.0], [16.0, 5052254.074509802], [17.0, 3868.3568627450973]]",SDN,ADM0
2006_01_01_00000000000000000038,"[[1.0, 1.0], [2.0, 3533.725490196079], [3.0, 0.0], [4.0, 4079.2392156862743], [5.0, 53.0], [6.0, 1226.1764705882354], [7.0, 8028.580392156864], [8.0, 3098.7411764705885], [9.0, 11585.16078431372], [10.0, 51936.22745098044], [11.0, 32.74509803921569], [12.0, 3375.760784313726], [13.0, 148.50196078431372], [14.0, 10.0], [15.0, 0.0], [16.0, 12.0], [17.0, 33.86274509803921]]",SWZ,ADM0
2006_01_01_00000000000000000039,"[[1.0, 1880756.2705882355], [2.0, 0.0], [3.0, 34.56078431372549], [4.0, 2091.1490196078435], [5.0, 374711.67450980394], [6.0, 445.0], [7.0, 532747.7529411766], [8.0, 3721488.1372549026], [9.0, 851882.6784313725], [10.0, 566388.1803921573], [11.0, 101064.71372549025], [12.0, 178705.25490196078], [13.0, 23997.933333333338], [14.0, 30047.945098039218], [15.0, 13121.749019607849], [16.0, 51127.91372549024], [17.0, 380790.28235294146]]",SWE,ADM0
2006_01_01_0000000000000000003a,"[[1.0, 1063.035294117647], [2.0, 0.0], [3.0, 0.0], [4.0, 0.0], [5.0, 0.0], [6.0, 382.0], [7.0, 295644.47058823536], [8.0, 2051.9254901960785], [9.0, 25696.21568627451], [10.0, 1459012.8980392155], [11.0, 35.17254901960784], [12.0, 126802.84705882355], [13.0, 7093.133333333332], [14.0, 0.0], [15.0, 24885.14901960783], [16.0, 1794611.9882352944], [17.0, 172.92156862745094]]",AFG,ADM0
2006_01_01_0000000000000000003b,"[[1.0, 1083.105882352941], [2.0, 396.6901960784314], [3.0, 0.8431372549019608], [4.0, 5097.266666666667], [5.0, 822.7803921568627], [6.0, 25.0], [7.0, 35.76862745098039], [8.0, 10405.15294117647], [9.0, 80114.71764705882], [10.0, 73330.92549019607], [11.0, 1203.43137254902], [12.0, 24275.215686274514], [13.0, 1649.262745098039], [14.0, 1059.3764705882354], [15.0, 30.0], [16.0, 156.3843137254902], [17.0, 2807.419607843137]]",ALB,ADM0
2006_01_01_0000000000000000003c,"[[1.0, 10899.427450980393], [2.0, 8952.235294117647], [3.0, 0.0], [4.0, 56.14509803921568], [5.0, 1182.0196078431372], [6.0, 438.93333333333334], [7.0, 568295.2627450979], [8.0, 13816.862745098042], [9.0, 34756.65882352941], [10.0, 318387.8901960784], [11.0, 1345.6862745098042], [12.0, 342769.94901960786], [13.0, 19411.694117647072], [14.0, 355.5764705882353], [15.0, 0.0], [16.0, 1.0672712349019608E7], [17.0, 5220.137254901956]]",DZA,ADM0
2006_01_01_0000000000000000003d,"[[1.0, 647.9254901960784], [2.0, 0.0], [3.0, 0.0], [4.0, 0.0], [5.0, 33.82352941176471], [6.0, 0.0], [7.0, 0.0], [8.0, 639.8784313725489], [9.0, 694.4235294117648], [10.0, 1295.1254901960776], [11.0, 2.0], [12.0, 0.0], [13.0, 101.46274509803922], [14.0, 0.0], [15.0, 0.0], [16.0, 9.71372549019608], [17.0, 0.0]]",AND,ADM0
2006_01_01_0000000000000000003e,"[[1.0, 21.0], [2.0, 199007.50196078434], [3.0, 0.0], [4.0, 107415.31764705882], [5.0, 137371.7607843137], [6.0, 139229.2117647059], [7.0, 86758.46666666669], [8.0, 962733.3372549022], [9.0, 1743575.0588235254], [10.0, 1790016.6470588234], [11.0, 10078.611764705884], [12.0, 15120.450980392157], [13.0, 4328.874509803922], [14.0, 5337.0], [15.0, 0.0], [16.0, 70766.39607843131], [17.0, 2094.043137254899]]",AGO,ADM0
2006_01_01_0000000000000000003f,"[[1.0, 2.0], [2.0, 0.0], [3.0, 0.0], [4.0, 9761.360784313716], [5.0, 11.0], [6.0, 0.0], [7.0, 0.0], [8.0, 7023.403921568628], [9.0, 8232.705882352937], [10.0, 137795.874509804], [11.0, 582.1803921568627], [12.0, 25176.701960784303], [13.0, 7124.745098039215], [14.0, 31.0], [15.0, 10.0], [16.0, 466.4431372549019], [17.0, 8339.745098039217]]",ARM,ADM0
2006_01_01_00000000000000000040,"[[1.0, 2357.6196078431376], [2.0, 23.905882352941177], [3.0, 2.0], [4.0, 306.81960784313725], [5.0, 18935.86274509804], [6.0, 0.0], [7.0, 24.58823529411765], [8.0, 2367.9960784313726], [9.0, 108988.31372549014], [10.0, 42876.854901960774], [11.0, 3311.2156862745146], [12.0, 74711.20392156864], [13.0, 53775.69019607837], [14.0, 63274.82745098036], [15.0, 0.0], [16.0, 350.8196078431373], [17.0, 8070.799999999967]]",NLD,ADM0
2006_01_01_00000000000000000041,"[[1.0, 59846.06666666661], [2.0, 0.0], [3.0, 7.250980392156863], [4.0, 16953.56862745098], [5.0, 198161.32549019615], [6.0, 16.0], [7.0, 0.0], [8.0, 124846.92156862734], [9.0, 70360.05490196076], [10.0, 95087.0156862745], [11.0, 1814.1725490196077], [12.0, 120786.96470588238], [13.0, 19397.376470588235], [14.0, 16604.843137254902], [15.0, 2226.7294117647057], [16.0, 9549.921568627451], [17.0, 2129.5882352941176]]",AUT,ADM0
2006_01_01_00000000000000000042,"[[1.0, 2.0], [2.0, 0.0], [3.0, 1.0], [4.0, 26327.91764705882], [5.0, 67.73725490196078], [6.0, 25.0], [7.0, 9789.64705882353], [8.0, 17344.24705882353], [9.0, 29241.09803921568], [10.0, 317345.20392156846], [11.0, 2605.7215686274503], [12.0, 160763.9607843137], [13.0, 15641.345098039215], [14.0, 173.67450980392158], [15.0, 48.090196078431376], [16.0, 5579.992156862745], [17.0, 8146.972549019607]]",AZE,ADM0
2006_01_01_00000000000000000043,"[[1.0, 74672.19999999998], [2.0, 0.0], [3.0, 0.0], [4.0, 36546.313725490196], [5.0, 504565.32941176475], [6.0, 0.0], [7.0, 0.0], [8.0, 476672.58039215667], [9.0, 349229.0313725488], [10.0, 170838.9960784314], [11.0, 5077.976470588235], [12.0, 617986.4078431372], [13.0, 16347.835294117645], [14.0, 90917.39607843143], [15.0, 0.0], [16.0, 58.0], [17.0, 6958.760784313725]]",BLR,ADM0
2006_01_01_00000000000000000044,"[[1.0, 2227.4352941176476], [2.0, 0.0], [3.0, 0.0], [4.0, 1105.007843137255], [5.0, 49092.18431372551], [6.0, 0.0], [7.0, 0.0], [8.0, 4357.325490196079], [9.0, 65363.60392156854], [10.0, 20159.050980392156], [11.0, 199.4235294117647], [12.0, 97273.61960784321], [13.0, 36551.50196078432], [14.0, 27317.462745098008], [15.0, 0.0], [16.0, 9.533333333333335], [17.0, 856.8431372549013]]",BEL,ADM0
2006_01_01_00000000000000000045,"[[1.0, 37888.17254901961], [2.0, 47577.43529411766], [3.0, 0.0], [4.0, 3786.349019607843], [5.0, 49306.11372549019], [6.0, 1.0], [7.0, 2.7098039215686276], [8.0, 11533.827450980392], [9.0, 2254.9137254901957], [10.0, 27771.196078431374], [11.0, 342.7686274509804], [12.0, 542.4627450980392], [13.0, 96.83921568627451], [14.0, 96.5450980392157], [15.0, 2451.5647058823515], [16.0, 12907.031372549034], [17.0, 0.0]]",BTN,ADM0
2006_01_01_00000000000000000046,"[[1.0, 4839.909803921569], [2.0, 4.0], [3.0, 1.6352941176470588], [4.0, 89748.16862745094], [5.0, 30455.843137254906], [6.0, 7.0], [7.0, 0.0], [8.0, 96521.34901960786], [9.0, 58636.46274509808], [10.0, 43750.52549019608], [11.0, 501.886274509804], [12.0, 39284.08235294118], [13.0, 3030.6039215686287], [14.0, 30954.972549019607], [15.0, 0.0], [16.0, 33.0], [17.0, 651.4941176470588]]",BIH,ADM0
2006_01_01_00000000000000000047,"[[1.0, 75.0], [2.0, 10.0], [3.0, 0.0], [4.0, 70.0], [5.0, 1.0], [6.0, 43108.29019607844], [7.0, 1047442.9294117535], [8.0, 7.0], [9.0, 4110.549019607843], [10.0, 1580448.3568627452], [11.0, 15301.345098039214], [12.0, 89.21176470588236], [13.0, 2233.6039215686274], [14.0, 0.0], [15.0, 0.0], [16.0, 11905.0], [17.0, 9783.0]]",BWA,ADM0
2006_01_01_00000000000000000048,"[[1.0, 28.364705882352943], [2.0, 2898.403921568628], [3.0, 0.0], [4.0, 1.0], [5.0, 43.9921568627451], [6.0, 12.0], [7.0, 0.0], [8.0, 1592.8901960784315], [9.0, 1443.6156862745097], [10.0, 371.85490196078433], [11.0, 259.90588235294103], [12.0, 41.78039215686274], [13.0, 2.9137254901960783], [14.0, 151.0], [15.0, 0.0], [16.0, 8.427450980392157], [17.0, 66.243137254902]]",COM,ADM0
2006_01_01_00000000000000000049,"[[1.0, 287.1411764705882], [2.0, 4729683.003921569], [3.0, 3.9294117647058826], [4.0, 208337.6274509804], [5.0, 179170.51764705882], [6.0, 584.1254901960784], [7.0, 111.37647058823529], [8.0, 1421406.960784314], [9.0, 2433243.3411764684], [10.0, 289654.662745098], [11.0, 57639.47450980393], [12.0, 3391.4274509803918], [13.0, 11479.941176470587], [14.0, 2966.1098039215685], [15.0, 0.0], [16.0, 1004.1843137254903], [17.0, 114001.45882352955]]",COD,ADM0
2006_01_01_0000000000000000004a,"[[1.0, 267.0], [2.0, 850238.1215686284], [3.0, 0.0], [4.0, 17.0], [5.0, 1.0], [6.0, 547.929411764706], [7.0, 0.0], [8.0, 128207.23529411768], [9.0, 199964.2470588235], [10.0, 182747.2705882353], [11.0, 17430.533333333333], [12.0, 612.3411764705883], [13.0, 2005.0980392156864], [14.0, 463.1647058823529], [15.0, 0.0], [16.0, 117.7843137254902], [17.0, 5307.062745098036]]",COG,ADM0
2006_01_01_0000000000000000004b,"[[1.0, 0.0], [2.0, 19934.643137254876], [3.0, 0.0], [4.0, 0.0], [5.0, 0.0], [6.0, 0.0], [7.0, 0.0], [8.0, 1310.2666666666669], [9.0, 332.9098039215686], [10.0, 464.96862745098036], [11.0, 672.388235294118], [12.0, 0.0], [13.0, 893.0], [14.0, 0.0], [15.0, 0.0], [16.0, 0.0], [17.0, 263.17647058823565]]",BRN,ADM0
2006_01_01_0000000000000000004c,"[[1.0, 22120.729411764707], [2.0, 0.0], [3.0, 21.55294117647059], [4.0, 138339.02352941176], [5.0, 19527.325490196075], [6.0, 1.0], [7.0, 0.0], [8.0, 108628.92941176471], [9.0, 67103.61568627451], [10.0, 145135.31372549012], [11.0, 2421.247058823529], [12.0, 293675.49411764706], [13.0, 19212.541176470593], [14.0, 4774.239215686274], [15.0, 0.0], [16.0, 60.58431372549019], [17.0, 2882.5490196078417]]",BGR,ADM0
2006_01_01_0000000000000000004d,"[[1.0, 0.0], [2.0, 0.0], [3.0, 0.0], [4.0, 4.0], [5.0, 0.0], [6.0, 0.0], [7.0, 106.74117647058823], [8.0, 0.6196078431372549], [9.0, 15.682352941176472], [10.0, 1081956.5882352954], [11.0, 16.0], [12.0, 54193.65098039213], [13.0, 1929.349019607843], [14.0, 7484.533333333333], [15.0, 0.0], [16.0, 6653.137254901955], [17.0, 335.0]]",BFA,ADM0
2006_01_01_0000000000000000004e,"[[1.0, 0.0], [2.0, 1685.929411764706], [3.0, 0.0], [4.0, 8.0], [5.0, 18.0], [6.0, 30.0], [7.0, 518.0], [8.0, 449.04313725490186], [9.0, 33078.65490196076], [10.0, 15710.596078431367], [11.0, 431.66666666666674], [12.0, 26484.80784313728], [13.0, 265.035294117647], [14.0, 22422.827450980392], [15.0, 0.0], [16.0, 72.6078431372549], [17.0, 7262.399999999998]]",BDI,ADM0
2006_01_01_0000000000000000004f,"[[1.0, 1.0], [2.0, 1.0], [3.0, 0.0], [4.0, 0.0], [5.0, 0.0], [6.0, 2.0], [7.0, 1485.929411764706], [8.0, 1.0], [9.0, 4.0], [10.0, 9840.443137254912], [11.0, 37.141176470588235], [12.0, 1306.9372549019608], [13.0, 149.58823529411762], [14.0, 0.0], [15.0, 0.0], [16.0, 4586.200000000001], [17.0, 267.9568627450983]]",CPV,ADM0
2006_01_01_00000000000000000050,"[[1.0, 35.01960784313726], [2.0, 216281.1725490194], [3.0, 0.0], [4.0, 55724.121568627466], [5.0, 27015.70588235294], [6.0, 51.0], [7.0, 0.0], [8.0, 64969.25098039213], [9.0, 126002.68235294108], [10.0, 53205.29411764709], [11.0, 9197.89411764706], [12.0, 185097.98431372555], [13.0, 1630.4941176470588], [14.0, 11987.04705882353], [15.0, 0.0], [16.0, 99.58823529411765], [17.0, 16502.768627450983]]",KHM,ADM0
2006_01_01_00000000000000000051,"[[1.0, 1.0235294117647058], [2.0, 828896.376470588], [3.0, 0.0], [4.0, 10408.172549019613], [5.0, 13378.619607843135], [6.0, 47.0], [7.0, 0.0], [8.0, 119523.57647058829], [9.0, 558369.8823529409], [10.0, 46935.03921568626], [11.0, 13225.349019607864], [12.0, 245705.80000000022], [13.0, 3493.0745098039215], [14.0, 48526.53333333334], [15.0, 0.0], [16.0, 584.3058823529411], [17.0, 5126.235294117647]]",CMR,ADM0
2006_01_01_00000000000000000052,"[[1.0, 20.941176470588232], [2.0, 66163.60392156862], [3.0, 0.0], [4.0, 578.0], [5.0, 481.0078431372549], [6.0, 56.0], [7.0, 0.0], [8.0, 104800.13333333333], [9.0, 946954.8156862744], [10.0, 160406.552941177], [11.0, 3492.3882352941177], [12.0, 1267.1960784313724], [13.0, 7265.223529411764], [14.0, 21248.788235294112], [15.0, 0.0], [16.0, 71.80392156862746], [17.0, 6756.73725490196]]",CIV,ADM0
2006_01_01_00000000000000000053,"[[1.0, 3763.2431372549054], [2.0, 2223.4627450980397], [3.0, 4.368627450980393], [4.0, 114702.87058823541], [5.0, 12112.615686274525], [6.0, 21.34901960784314], [7.0, 539.5137254901961], [8.0, 56274.90588235289], [9.0, 85034.55294117644], [10.0, 71729.53333333317], [11.0, 4752.403921568625], [12.0, 73461.41960784314], [13.0, 6353.807843137256], [14.0, 17559.047058823533], [15.0, 0.0], [16.0, 128.60000000000002], [17.0, 3111.364705882347]]",HRV,ADM0
2006_01_01_00000000000000000054,"[[1.0, 0.0], [2.0, 330428.07843137253], [3.0, 0.0], [4.0, 269211.2549019608], [5.0, 249121.69411764704], [6.0, 0.0], [7.0, 0.0], [8.0, 146231.9254901961], [9.0, 1352909.5372549018], [10.0, 172154.97647058842], [11.0, 1276.4235294117648], [12.0, 8987.470588235297], [13.0, 1151.035294117647], [14.0, 203.0], [15.0, 0.0], [16.0, 26.129411764705882], [17.0, 165.9254901960785]]",CAF,ADM0
2006_01_01_00000000000000000055,"[[1.0, 0.0], [2.0, 0.0], [3.0, 0.0], [4.0, 23386.576470588236], [5.0, 515.086274509804], [6.0, 0.0], [7.0, 6935.866666666667], [8.0, 16.0], [9.0, 101943.51764705873], [10.0, 1775561.7490196086], [11.0, 1333.356862745098], [12.0, 460756.70588235284], [13.0, 1298.6235294117648], [14.0, 3998.490196078432], [15.0, 0.0], [16.0, 3141641.9764705854], [17.0, 4155.345098039215]]",TCD,ADM0
2006_01_01_00000000000000000056,"[[1.0, 305630.305882353], [2.0, 819755.6431372549], [3.0, 118835.25882352938], [4.0, 2210617.756862745], [5.0, 1406118.545098039], [6.0, 32190.980392156864], [7.0, 69125.91372549019], [8.0, 5835779.886274508], [9.0, 3667930.3960784297], [10.0, 1.895007245490196E7], [11.0, 97313.69803921574], [12.0, 8299752.152941175], [13.0, 824849.7607843134], [14.0, 1261022.745098039], [15.0, 193448.8901960784], [16.0, 1.4964573866666663E7], [17.0, 478252.1333333335]]",CHN,ADM0
2006_01_01_00000000000000000057,"[[1.0, 935.0], [2.0, 1.0], [3.0, 0.0], [4.0, 0.0], [5.0, 0.0], [6.0, 471.97254901960787], [7.0, 606.4745098039216], [8.0, 1584.0], [9.0, 4496.196078431373], [10.0, 27718.8470588235], [11.0, 287.3333333333333], [12.0, 15766.443137254899], [13.0, 1841.1490196078432], [14.0, 0.0], [15.0, 0.0], [16.0, 45.815686274509794], [17.0, 445.11372549019626]]",CYP,ADM0
2006_01_01_00000000000000000058,"[[1.0, 58853.8156862745], [2.0, 0.0], [3.0, 9.0], [4.0, 19866.45490196079], [5.0, 115451.16078431369], [6.0, 0.0], [7.0, 0.0], [8.0, 46228.94509803921], [9.0, 91051.50588235293], [10.0, 21050.827450980392], [11.0, 1220.0], [12.0, 321132.59607843135], [13.0, 33930.74901960785], [14.0, 45263.419607843134], [15.0, 0.0], [16.0, 20.0], [17.0, 539.0]]",CZE,ADM0
2006_01_01_00000000000000000059,"[[1.0, 6750.862745098038], [2.0, 0.0], [3.0, 18.56078431372549], [4.0, 566.364705882353], [5.0, 19853.69019607842], [6.0, 0.0], [7.0, 0.0], [8.0, 1564.941176470588], [9.0, 84932.85882352934], [10.0, 26146.270588235264], [11.0, 14514.803921568644], [12.0, 324588.3254901962], [13.0, 14281.08627450981], [14.0, 69795.59607843138], [15.0, 0.0], [16.0, 238.75294117647059], [17.0, 11581.97254901953]]",DNK,ADM0
2006_01_01_0000000000000000005a,"[[1.0, 0.0], [2.0, 0.0], [3.0, 0.0], [4.0, 0.0], [5.0, 0.0], [6.0, 0.0], [7.0, 11017.113725490197], [8.0, 0.0], [9.0, 0.0], [10.0, 24791.36470588234], [11.0, 0.0], [12.0, 0.0], [13.0, 121.46666666666667], [14.0, 0.0], [15.0, 0.0], [16.0, 54296.709803921505], [17.0, 814.7529411764704]]",DJI,ADM0
2006_01_01_0000000000000000005b,"[[1.0, 0.0], [2.0, 0.0], [3.0, 0.0], [4.0, 0.0], [5.0, 0.0], [6.0, 0.0], [7.0, 19802.85882352941], [8.0, 3.0], [9.0, 10736.584313725487], [10.0, 20903.4862745098], [11.0, 3514.654901960784], [12.0, 145653.47450980393], [13.0, 25827.415686274435], [14.0, 4006.0], [15.0, 0.0], [16.0, 4693572.643137252], [17.0, 29087.972549019578]]",EGY,ADM0
2006_01_01_0000000000000000005c,"[[1.0, 13.086274509803921], [2.0, 93061.56078431375], [3.0, 0.0], [4.0, 18.92156862745098], [5.0, 0.6196078431372549], [6.0, 5.0], [7.0, 0.0], [8.0, 12739.874509803933], [9.0, 406.45490196078435], [10.0, 34.34117647058824], [11.0, 1531.454901960784], [12.0, 8.0], [13.0, 116.07058823529411], [14.0, 0.0], [15.0, 0.0], [16.0, 0.058823529411764705], [17.0, 266.6235294117648]]",GNQ,ADM0
2006_01_01_0000000000000000005d,"[[1.0, 0.0], [2.0, 0.0], [3.0, 0.0], [4.0, 0.0], [5.0, 0.0], [6.0, 0.0], [7.0, 48981.37647058822], [8.0, 0.0], [9.0, 263.52156862745096], [10.0, 186905.8352941176], [11.0, 8.533333333333333], [12.0, 16834.698039215684], [13.0, 463.11372549019603], [14.0, 98.0], [15.0, 0.0], [16.0, 266396.5058823531], [17.0, 1388.67843137254]]",ERI,ADM0
2006_01_01_0000000000000000005e,"[[1.0, 16558.72941176471], [2.0, 0.0], [3.0, 6.890196078431373], [4.0, 8225.141176470588], [5.0, 209156.81568627455], [6.0, 0.0], [7.0, 0.0], [8.0, 227941.4862745098], [9.0, 51158.93725490193], [10.0, 46643.51372549018], [11.0, 6068.207843137259], [12.0, 49579.98431372549], [13.0, 3140.1019607843145], [14.0, 18791.929411764708], [15.0, 14.0], [16.0, 103.9921568627451], [17.0, 30564.78823529426]]",EST,ADM0
2006_01_01_0000000000000000005f,"[[1.0, 17.0], [2.0, 107672.87450980392], [3.0, 0.0], [4.0, 30195.0], [5.0, 1007.0], [6.0, 140279.72156862743], [7.0, 623131.6509803932], [8.0, 32438.764705882353], [9.0, 800308.2666666664], [10.0, 1990068.8823529412], [11.0, 2180.505882352941], [12.0, 646899.7647058822], [13.0, 5769.349019607843], [14.0, 12662.0], [15.0, 0.0], [16.0, 238368.09019607873], [17.0, 28385.349019607846]]",ETH,ADM0
2006_01_01_00000000000000000060,"[[1.0, 1004746.7137254901], [2.0, 0.0], [3.0, 28.0], [4.0, 86.0078431372549], [5.0, 568839.0823529412], [6.0, 0.0], [7.0, 328686.2941176473], [8.0, 3549284.043137255], [9.0, 1090553.5686274508], [10.0, 223411.19999999998], [11.0, 122752.61176470584], [12.0, 1988.007843137255], [13.0, 11131.674509803921], [14.0, 0.0], [15.0, 0.0], [16.0, 2612.627450980392], [17.0, 399883.26274509804]]",FIN,ADM0
2006_01_01_00000000000000000061,"[[1.0, 34.101960784313725], [2.0, 876310.8431372534], [3.0, 1.0], [4.0, 72.0], [5.0, 3.0], [6.0, 122.07058823529412], [7.0, 0.0], [8.0, 109281.33333333336], [9.0, 17448.01176470588], [10.0, 36385.36470588237], [11.0, 9779.811764705912], [12.0, 14.650980392156864], [13.0, 1255.886274509804], [14.0, 194.82745098039214], [15.0, 0.0], [16.0, 15.749019607843138], [17.0, 8215.521568627397]]",GAB,ADM0
2006_01_01_00000000000000000062,"[[1.0, 0.0], [2.0, 0.0], [3.0, 0.0], [4.0, 2.0], [5.0, 0.0], [6.0, 0.0], [7.0, 0.0], [8.0, 0.0], [9.0, 374.81960784313725], [10.0, 21251.670588235294], [11.0, 2514.9098039215687], [12.0, 20346.54117647067], [13.0, 431.7019607843137], [14.0, 51.0], [15.0, 0.0], [16.0, 167.28627450980392], [17.0, 452.7176470588238]]",GMB,ADM0
2006_01_01_00000000000000000063,"[[1.0, 2822.850980392157], [2.0, 1151.0], [3.0, 0.0], [4.0, 34.0], [5.0, 52.0], [6.0, 1211.0], [7.0, 545020.7019607844], [8.0, 3061.192156862745], [9.0, 25739.07450980391], [10.0, 332897.8196078433], [11.0, 498.1294117647057], [12.0, 450940.6431372549], [13.0, 11720.062745098043], [14.0, 244.0], [15.0, 0.0], [16.0, 927545.329411765], [17.0, 1964.592156862739]]",MAR,ADM0
2006_01_01_00000000000000000064,"[[1.0, 145.90588235294118], [2.0, 20735.17254901961], [3.0, 0.0], [4.0, 379686.58823529416], [5.0, 63592.764705882364], [6.0, 11215.929411764706], [7.0, 17282.792156862743], [8.0, 350154.5725490196], [9.0, 1796331.3254901967], [10.0, 736956.0941176466], [11.0, 14233.152941176504], [12.0, 36370.427450980394], [13.0, 5187.839215686276], [14.0, 3557.4431372549016], [15.0, 0.0], [16.0, 665.0470588235295], [17.0, 48850.11764705885]]",MOZ,ADM0
