forest_blue,forest_green,forest_red,shapeGroup,shapeName,shapeType,date
,,,IRQ,Iraq,ADM0,978307200000
241.63660866256816,412.0341472175355,338.0576767317356,IRL,Ireland,ADM0,978307200000
3395.4894698008316,3171.0563031358297,2962.1136387458123,KAZ,Kazakhstan,ADM0,978307200000
153.96664526962806,431.2825942812601,292.1499384574982,KEN,Kenya,ADM0,978307200000
1287.7783943293991,1322.1146953351395,1339.117916472072,PRK,"Korea, North",ADM0,978307200000
698.0274695434042,823.7826397199682,875.6113404365227,KOR,"Korea, South",ADM0,978307200000
523.8663467331947,601.1060573620546,695.8077263204599,XKX,Kosovo,ADM0,978307200000
305.5881618006639,419.62191052871987,508.4487051483488,SRB,Serbia,ADM0,978307200000
105.22494991089627,321.2103869712914,173.5881502757629,SYC,Seychelles,ADM0,978307200000
309.8932996868121,547.2332196698833,460.9229030295945,SLE,Sierra Leone,ADM0,978307200000
91.38358865840807,347.91872391454444,196.3515438580454,SGP,Singapore,ADM0,978307200000
651.4127528297155,711.0066162603562,703.210092619677,ITA,Italy,ADM0,978307200000
2126.1502340895418,1879.6178569339534,1735.874278297375,KGZ,Kyrgyzstan,ADM0,978307200000
197.53307933585268,419.81194621362954,297.98818366149794,LAO,Laos,ADM0,978307200000
1667.5946895119464,1588.822292931548,1463.1534013645546,LVA,Latvia,ADM0,978307200000
118.39400480012569,257.0378536305142,217.37692198047804,LBN,Lebanon,ADM0,978307200000
197.09677419354838,613.9677419354839,431.1290322580645,LSO,Lesotho,ADM0,978307200000
304.50838361128206,486.35653838420023,407.0436964638726,LBR,Liberia,ADM0,978307200000
458.2258064516129,693.8064516129032,748.5806451612904,LBY,Libya,ADM0,978307200000
909.0417273648691,894.3822121721354,829.2774806560767,LIE,Liechtenstein,ADM0,978307200000
1411.830753234311,1343.3650005998595,1263.9247838514978,LTU,Lithuania,ADM0,978307200000
140.63311670782466,311.92466994229625,293.75330286705304,LUX,Luxembourg,ADM0,978307200000
,,,MCO,Monaco,ADM0,978307200000
1572.029828071775,1497.5261340480638,1403.0131449797595,MNG,Mongolia,ADM0,978307200000
1077.9560582417998,1054.1288456061263,1019.879009700606,MNE,Montenegro,ADM0,978307200000
281.9015493618167,365.85362377088745,438.52281812561944,MKD,Macedonia,ADM0,978307200000
153.97090860387556,444.63603709640586,288.23238712615193,MDG,Madagascar,ADM0,978307200000
85.7995759018439,282.21656743083525,179.42812657947732,MWI,Malawi,ADM0,978307200000
60.84275730173975,150.64642140121634,96.07720554437267,MYS,Malaysia,ADM0,978307200000
0.0,0.0,0.0,MDV,Maldives,ADM0,978307200000
335.43506985948943,597.1774407282803,718.4700684741738,MLI,Mali,ADM0,978307200000
,,,MLT,Malta,ADM0,978307200000
,,,MRT,Mauritania,ADM0,978307200000
109.165537795008,317.4980899590787,209.52609810798154,MUS,Mauritius,ADM0,978307200000
207.87391884210848,299.5117918973182,339.86098472113207,MDA,Moldova,ADM0,978307200000
0.0,0.0,0.0,OMN,Oman,ADM0,978307200000
413.81265117428836,466.78941060478974,444.3406851465085,PAK,Pakistan,ADM0,978307200000
71.17157954240467,195.08114640319258,116.44713426874516,PLW,Palau,ADM0,978307200000
93.32598791879649,274.88228664124864,166.53344703410306,PHL,Philippines,ADM0,978307200000
746.5230861204872,790.3984300715206,731.0630154308856,POL,Poland,ADM0,978307200000
125.78753474162808,270.4533301047037,229.13514972481386,PRT,Portugal,ADM0,978307200000
527.8527389905008,626.2999626407674,682.1046212030152,ROU,Romania,ADM0,978307200000
26.59185702642988,52.664023948299096,38.50695668622417,RWA,Rwanda,ADM0,978307200000
,,,SMR,San Marino,ADM0,978307200000
135.94250512368876,319.58285859988473,254.65970878424537,TUN,Tunisia,ADM0,978307200000
516.5,775.5,872.5,TKM,Turkmenistan,ADM0,978307200000
63.17956896056484,137.1006271021866,108.32383718635235,STP,Sao Tome & Principe,ADM0,978307200000
,,,SAU,Saudi Arabia,ADM0,978307200000
246.1962134955472,493.5520777529467,492.90333121709835,SEN,Senegal,ADM0,978307200000
913.052110401633,977.7829526306153,974.2255652433228,SVK,Slovakia,ADM0,978307200000
602.6865955420662,673.448609882295,671.1524284636273,SVN,Slovenia,ADM0,978307200000
390.7935949874941,746.4378242481926,782.8286538395446,SOM,Somalia,ADM0,978307200000
301.68148812634115,530.0446788718327,616.4171809105555,SSD,South Sudan,ADM0,978307200000
183.25252836476926,295.3193281021795,265.4752248151707,ESP,Spain,ADM0,978307200000
116.33087778807644,319.36519441474894,198.19284209747715,LKA,Sri Lanka,ADM0,978307200000
398.2273016433178,669.6547329937421,899.575179817698,SDN,Sudan,ADM0,978307200000
189.96117763034945,544.3610248484271,374.96944656748883,SWZ,Swaziland,ADM0,978307200000
982.3990596027752,979.8324726983377,881.6616113274761,SWE,Sweden,ADM0,978307200000
241.46713574705112,335.91141085719613,323.2538382231424,AFG,Afghanistan,ADM0,978307200000
419.6685308930425,463.9039874472945,466.3637366831701,ALB,Albania,ADM0,978307200000
123.47251487430088,291.04224604471676,227.16427305872494,DZA,Algeria,ADM0,978307200000
898.5168562181793,901.7336132319433,849.8870194351792,AND,Andorra,ADM0,978307200000
152.52438250500362,389.67838239970894,275.0846426235998,AGO,Angola,ADM0,978307200000
675.565119547464,714.0535968964397,760.5807290978736,ARM,Armenia,ADM0,978307200000
277.87201666255703,435.6213427452452,390.06040768049735,NLD,Netherlands,ADM0,978307200000
1354.1133278983884,1352.2650518332252,1288.3791586041073,AUT,Austria,ADM0,978307200000
